template,data_modality,task_type
d781ed63c51e.json,single_table,classification
9bb9ffcac9e7.json,single_table,classification
114d6c40ae9f.json,single_table,regression
816ea7a09986.json,single_table,regression
03e8e75698d6.json,single_table,regression
d781ed63c51e.json,single_table,graph_matching
d781ed63c51e.json,single_table,forecasting
d781ed63c51e.json,single_table,link_prediction
d781ed63c51e.json,single_table,community_detection
d781ed63c51e.json,single_table,vertex_classification
d781ed63c51e.json,single_table,object_detection
dbd359409d05.json,multi_table,classification
05f103916567.json,multi_table,regression
d781ed63c51e.json,multi_table,graph_matching
d781ed63c51e.json,multi_table,forecasting
d781ed63c51e.json,multi_table,link_prediction
d781ed63c51e.json,multi_table,community_detection
d781ed63c51e.json,multi_table,vertex_classification
d781ed63c51e.json,multi_table,object_detection
d781ed63c51e.json,graph,classification
d781ed63c51e.json,graph,regression
d781ed63c51e.json,graph,graph_matching
d781ed63c51e.json,graph,forecasting
d781ed63c51e.json,graph,link_prediction
d781ed63c51e.json,graph,vertex_classification
d781ed63c51e.json,graph,object_detection
